序號,重要投資成果
(一) ,"104年：共3件，包括永聯物流、美商好市多及華泰名品城等，投資金額計約277億5,000萬元。"
(二)  ,"105年：共28件，包括澳商澳亞飛航訓練中心、台灣美光及日商台灣四葉等，投資金額計約1,942億8,000萬元。"
(三) ,106年：共26件，包括日商優雅食、廣豐新天地及美商台灣明尼蘇達礦業(3M)等，投資金額計約626億700萬元。
(四) ,"107年：共19件，包括杏一醫療、IKEA等，投資金額計約699億4,300萬元。"
(五) ,"108年：共25件，包括濾能、GLORIA OUTLETS 華泰名品城、優勢國際綠能、美超微電腦、鴻大開發事業、神準科技、中華精測科技等，投資金額計約936億6,900萬元。"
(六),"109年：共40件，包括長榮國際儲運、星宇航空、欣興電子、華新科技等，投資金額計約1,196億5,800萬元。"
(七) ,"110年：共32件，包括中華郵政、關東鑫林、利百代、日月光、日商大和、新光合纖、微軟、家樂福、寶倉物流等，投資金額計約2,137億3,200萬元。"
(八) ,"111年：共21件，包括諾騰亞洲、德律、國泰人壽、超能高新、台灣微軟、鉅輝鋼鐵等，投資金額計約1,429億9,300萬元。"
(九),"112年：共69件，包括優比速、千倍康、宏大拉鍊、台灣新吉美碩、國泰人壽、宜家家居、台灣大昌華嘉等，投資金額計約1,709億7,200萬元。"
(十),"113年10月底止：共50件，包括台灣松下電材、 數據匯台灣(BDx)、微星科技、中勤實業等，投資金額計約1,285億9,700萬元。"
