年份,太陽光電(百萬度),風力發電(百萬度),慣常水力發電(百萬度),生質能發電(百萬度),地熱發電(百萬度),廢棄物(百萬度),合計(百萬度)
98年,9.1,786.6,3748.3,229.3,0,3036.1,7809.5
99年,21.7,1026.3,4194.1,270,0,3127.6,8639.8
100年,61.6,1492.7,3999.7,236.1,0,3196.9,8987.1
101年,159.9,1413.5,5669.6,241.5,0,3177.7,10662.1
102年,321.1,1640,5422.9,225.6,0,3245.7,10855.2
103年,528.8,1500.5,4317.9,249.8,0,3325.5,9922.4
104年,850.3,1525.2,4470.1,246.2,0,3384.2,10476
105年,1109,1457.1,6562,205.4,0,3396.6,12730.1
106年,1667.5,1722.5,5446.8,187.7,0,3341,12365.4
107年,2703.7,1709.5,4481.6,185.3,0,3566.6,12646.6
108年,4015.9,1892.2,5544.8,169.8,0.8,3634.9,15258.4
109年,6074.7,2308.9,3019.2,204.7,1.9,3569.7,15179.1
110年,7970.2,2257.5,3474.7,195.8,9.1,3604.5,17511.7
111年,10677,3543.1,5836.5,158.2,25,3605.1,23844.9
