類別,館舍名稱,公司名稱,連繫電話,郵遞區號,住址
觀光工廠,巧克力共和國,宏亞食品股份有限公司,365-6555,334,桃園市八德區巧克力街177號
觀光工廠,東和音樂體驗館,東和樂器木業股份有限公司,388-2215*210,335,桃園市大溪區信義路226號
觀光工廠,江記豆腐乳文化館,新蓬萊食品股份有限公司,498-6018,320,桃園市中壢區月眉路2段248巷85號
觀光工廠,祥儀機器人夢工廠,祥儀企業股份有限公司,362-3452,330,桃園市桃園區桃鶯路461號
觀光工廠,雅聞魅力博覽館,雅聞生技股份有限公司,488-3800,326,桃園市楊梅區中山北路一段21巷1號
觀光工廠,郭元益糕餅博物館,郭元益食品股份有限公司,496-2201,326,桃園市楊梅區幼獅工業區青年路9巷1號
觀光工廠,南僑桃園觀光體驗工廠,南僑化學工業股份有限公司,263-0264,330,桃園市桃園區龜山工業區興邦路35號
觀光工廠,桃園酒廠,台灣菸酒股份有限公司,328-3001*380,333,桃園市龜山區文化一路55號
觀光工廠,金格卡司蒂菈樂園,金格食品股份有限公司,255-1999,338,桃園市蘆竹區大竹北路90之66號
觀光工廠,義美生產．生態．生活廠區,義美食品股份有限公司,322-2709,338,桃園市蘆竹區南工路一段11號
觀光工廠,老K舒眠文化館,歐樂麗股份有限公司,490-5050*111,327,桃園市新屋區頭洲村梅高路三段97號
觀光工廠,太平洋自行車博物館,太平洋自行車股份有限公司,486-1231*312,327,桃園市新屋區永福路686號
產業文化館,金蘭醬油博物館,金蘭食品股份有限公司,380-1226*290,335,桃園市大溪區介壽路236號
產業文化館,光泉牛奶園地,光泉牧場股份有限公司,386-5185*111,337,桃園市大園區大觀路1249號
產業文化館,黑松飲料博物館,黑松股份有限公司,452-3101*219,320,桃園市中壢區中壢工業區中園路178號
產業文化館,金車咖啡文教館,金車股份有限公司,465-1121*251或257,320,桃園市中壢區榮民南路412號
觀光工廠,GFun機能紡織生活館,聚紡股份有限公司,0800-038-838,328,桃園市觀音區工業區工業六路3號
產業文化館,台塑企業文物館,台塑企業,211-8800*3392,333,桃園市龜山區文化一路259號
觀光工廠,大溪老茶廠,台灣農林股份有限公司,382-5089,335,桃園市大溪區復興路二段732巷80號
產業文化館,可口可樂世界,太古可口可樂股份有限公司,364-8800,330,桃園市桃園區龜山工業區興邦路46號
產業文化館,養樂多工廠,養樂多股份有限公司,452-9994#609,320,桃園市中壢區自強一路4號
觀光工廠,源友咖啡文化館,源友企業股份有限公司,469-7387#1032,324,桃園市平鎮區工業五路8號
產業文化館,福源茶廠,福源茶業股份有限公司,479-2533,325,桃園市龍潭區竹龍路590巷56號
產業文化館,中台環境教育資源中心,中台資源科技股份有限公司,03-4737311#509,328,桃園市觀音區環科路326號
產業文化館,歐萊德綠建築總部,歐萊德國際股份有限公司,4116789#1999,325,桃園市龍潭區中豐路高平段18號
觀光工廠,國巨洋傘文創園區,國巨洋傘欣業有限公司,385-2987,337,桃園市大園區國際路一段105巷18號
觀光工廠,手信霧隱城,手信坊股份有限公司,470-0598,325,桃園市龍潭區民豐一街99號
觀光工廠,蛋寶生技不老村,蛋寶生技股份有限公司,468-8300,324,桃園市平鎮區金陵路三段105號
觀光工廠,勝昌中草藥探索館,勝昌製藥廠股份有限公司,0800-588-995,320,桃園市中壢區民族路六段436號
觀光工廠,雄獅文具想像力製造所,雄獅鉛筆廠股份有限公司,411-6888,325,桃園市龍潭區中原路二段188號
觀光工廠,自然接觸保養品亮點體驗園,千朔生化科技股份有限公司,478-9999,326,桃園市楊梅區楊湖路一段351號
觀光工廠,葡萄王健康活力能量館,葡萄王生技股份有限公司,271-2121,324,桃園市平鎮區金陵路2段402號
觀光工廠,利百代彩筆文創館,利百代國際實業股份有限公司,361-3020,330,桃園市桃園區大誠路2號
