年分,累計發卡量,交易金額,交易筆數-合計,交易筆數-搭乘捷運,交易筆數-搭乘公車,交易筆數-撘乘渡輪
2011,2678356,625722820,56859299,33421076,21792048,1646175
2012,3409582,708261874,66436023,39148523,26547464,740036
2013,4232557,786156585,75897384,42992848,31113292,1791244
2014,5397563,748031683,87123466,44801260,43226957,2194213
2015,8047971,1198294177,89058431,44481106,41992522,2584803
2016,11439034,1286029495,89641634,45032390,41037237,3572007
2017,14850504,1199549289,83098864,43390437,36241833,3466594
2018,19540891,1109547372,85324486,44650485,37189990,3484011
2019,24951060,1054732609,79089156,41569163,33954278,3565715
2020,29283581,760288014,61671887,31454359,27082552,3134976
2021,33856029,568365682,47193866,24901105,19441409,2851352
2022,39284357,599197959,50004160,28089686,18837590,3076884
2023,45280959,599906510,55573285,34875970,17455747,3241568
